date,SPY,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,ORCL,CRM,AMD
2016-05-31,209.84,46.72,53.0,99.86,722.79,748.85,118.81,154.36,40.2,83.71,4.57
2016-06-01,210.27,46.81,52.85,98.46,719.44,748.46,118.78,154.77,40.26,83.45,4.43
2016-06-02,210.91,47.14,52.48,97.72,728.24,744.27,118.93,154.91,38.66,83.24,4.24
2016-06-03,210.28,46.48,51.79,97.92,725.54,735.86,118.47,162.56,39.1,82.55,4.16
2016-06-06,211.35,46.24,52.13,98.63,726.73,730.06,118.79,162.84,39.44,82.83,4.47
2016-06-07,211.68,46.33,52.1,99.03,723.74,731.09,117.76,164.84,39.13,83.14,4.51
2016-06-08,212.37,46.18,52.04,98.94,726.64,742.93,118.39,163.7,39.28,83.35,4.46
2016-06-09,212.08,47.38,51.62,99.65,727.65,742.52,118.56,164.14,39.05,82.73,4.52
2016-06-10,210.07,46.2,51.48,98.83,717.91,733.19,116.62,160.82,38.74,81.83,4.32
2016-06-13,208.4492,46.79,50.14,97.34,715.24,731.88,113.95,160.01,38.62,81.49,4.4
2016-06-14,208.04,46.88,49.83,97.46,719.3,733.25,114.94,158.99,38.83,81.09,4.39
2016-06-15,207.75,47.36,49.69,97.14,714.26,732.19,114.6,158.4,38.44,81.99,4.42
2016-06-16,208.37,47.55,50.39,97.55,717.51,724.25,114.39,158.63,38.64,81.64,4.75
2016-06-17,206.52,46.72,50.13,95.33,706.39,704.25,113.02,156.0,39.68,80.5,5.26
2016-06-20,207.85,47.56,50.07,95.1,714.01,706.13,113.37,156.93,39.73,81.22,5.1
2016-06-21,208.44,47.27,51.19,95.91,715.82,708.88,114.38,155.81,39.99,81.63,5.45
2016-06-22,208.1,47.23,50.99,95.55,710.6,710.47,113.91,155.14,40.01,80.62,5.02
2016-06-23,210.81,48.49,51.91,96.1,722.08,714.87,115.08,158.62,40.83,82.28,5.21
2016-06-24,203.2425,45.73,49.83,93.4,698.96,685.2,112.08,148.72,39.23,78.46,4.88
2016-06-27,199.6,45.24,48.43,92.04,691.36,681.14,108.97,143.63,38.48,76.07,4.72
2016-06-28,203.1997,45.9,49.44,93.59,707.95,691.26,112.7,149.77,39.13,77.55,5.12
2016-06-29,206.66,46.65,50.54,94.4,715.6,695.19,114.16,155.0,40.55,79.0,5.13
2016-06-30,209.475,47.01,51.17,95.6,715.62,703.53,114.28,155.4,40.93,79.41,5.14
2016-07-01,209.9208,46.66,51.16,95.89,725.68,710.25,114.19,154.22,40.86,79.83,5.07
2016-07-05,208.41,47.35,51.17,95.04,728.1,704.89,114.2,150.76,40.4,78.67,4.96
2016-07-06,209.66,47.65,51.38,95.53,737.61,708.97,116.7,150.63,40.53,78.5,5.04
2016-07-07,209.526,48.89,51.38,95.94,736.57,707.26,115.85,150.99,40.53,78.76,5.02
2016-07-08,212.65,50.85,52.3,96.68,745.81,717.78,117.24,155.14,40.87,80.89,5.1
2016-07-11,213.4,52.02,52.59,96.98,753.78,727.2,117.87,157.36,40.78,81.66,5.01
2016-07-12,214.95,52.8,53.21,97.42,748.21,732.51,117.93,158.59,41.42,81.93,5.14
2016-07-13,214.92,52.78,53.51,96.87,742.63,729.48,116.78,157.41,41.46,81.33,5.09
2016-07-14,216.12,53.32,53.74,98.79,741.2,735.8,117.29,160.79,41.67,81.56,5.17
2016-07-15,215.83,52.7,53.7,98.78,735.44,735.63,116.86,161.16,41.77,81.4,5.14
2016-07-18,216.4092,52.97,53.96,99.83,736.07,753.2,119.37,162.33,41.64,81.63,5.51
2016-07-19,216.19,53.52,53.09,99.87,739.95,753.41,120.61,160.53,41.08,81.37,5.41
2016-07-20,217.085,54.22,55.91,99.96,745.72,757.08,121.92,162.67,41.25,82.14,5.41
2016-07-21,216.265,53.22,55.8,99.43,744.43,754.41,120.61,160.41,41.07,81.7,5.22
2016-07-22,217.24,54.67,56.57,98.66,744.86,759.28,121.0,159.67,41.08,82.55,5.84
2016-07-25,216.65,55.68,56.73,97.34,739.61,757.52,121.63,159.78,41.16,82.19,6.7
2016-07-26,216.75,56.63,56.76,96.67,735.59,757.65,121.22,163.44,40.94,81.76,6.98
2016-07-27,216.52,56.06,56.19,102.95,736.67,761.97,123.34,165.66,40.93,81.5,6.85
2016-07-28,216.77,56.18,56.21,104.34,752.61,765.84,125.0,164.23,41.19,82.33,6.82
2016-07-29,217.12,57.1,56.68,104.21,758.81,791.34,123.94,161.98,41.04,81.8,6.86
2016-08-01,216.94,56.73,56.58,106.05,767.74,800.94,124.31,163.51,41.15,81.02,6.64
2016-08-02,215.5492,56.04,56.58,104.48,760.58,800.12,123.09,162.89,40.71,80.5,6.26
2016-08-03,216.18,56.19,56.97,105.79,754.64,798.92,122.51,164.11,40.71,80.41,6.3
2016-08-04,216.4097,57.23,57.39,105.87,760.77,797.25,124.36,166.99,40.9,80.56,6.47
2016-08-05,218.18,58.2,57.96,107.48,765.98,806.93,125.15,170.12,41.13,81.33,6.61
2016-08-08,218.05,58.74,58.06,108.37,766.56,805.23,125.26,168.35,41.16,81.17,6.68
2016-08-09,218.18,58.89,58.2,108.81,768.31,807.48,125.06,171.17,41.1,81.18,6.6
2016-08-10,217.64,58.51,58.02,108.0,768.56,808.49,124.88,171.85,41.09,80.24,6.49
2016-08-11,218.65,59.7,58.3,107.93,771.24,808.2,124.9,172.09,41.28,81.48,6.58
2016-08-12,218.46,63.04,57.94,108.18,772.56,807.05,124.88,172.47,41.09,81.63,6.73
2016-08-15,219.09,62.98,58.12,109.48,768.49,805.96,123.9,175.54,41.39,78.92,6.95
2016-08-16,217.96,62.6,57.44,109.38,764.04,801.19,123.3,172.4,41.32,77.96,6.78
2016-08-17,218.37,61.15,57.56,109.22,764.63,805.42,124.37,173.03,41.21,76.32,6.68
2016-08-18,218.86,62.1,57.6,109.08,764.46,802.75,123.91,173.93,41.14,76.91,7.04
